                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1864,                0.68429,                 1.0656,                0.84342,                0.77139,                0.83899,                0.39329,                 1.8164,                0.86667,                 1.3451,                0.00769,                0.00769,                0.00769
                     72,                 1.1729,                0.67933,                 1.0646,                0.87026,                0.83559,                0.87925,                0.40523,                 1.8236,                0.77929,                 1.3661,               0.007657,               0.007657,               0.007657
                     73,                 1.1835,                0.67925,                 1.0646,                0.83471,                0.84891,                0.87386,                0.41198,                 1.7696,                0.82421,                 1.3319,               0.007624,               0.007624,               0.007624
                     74,                 1.1795,                0.67966,                 1.0649,                0.86321,                0.76414,                0.84331,                0.39496,                 1.8172,                 0.8573,                 1.3634,               0.007591,               0.007591,               0.007591
                     75,                 1.1692,                0.67244,                 1.0586,                 0.8566,                0.77826,                0.85898,                0.40235,                 1.8297,                0.83449,                 1.3735,               0.007558,               0.007558,               0.007558
                     76,                  1.169,                0.67055,                 1.0595,                0.87207,                0.79441,                0.86689,                 0.3999,                 1.8935,                0.86218,                 1.3952,               0.007525,               0.007525,               0.007525
                     77,                 1.1677,                0.67291,                 1.0572,                0.84585,                0.79236,                0.85904,                0.43043,                 1.7353,                0.81958,                 1.3281,               0.007492,               0.007492,               0.007492
                     78,                  1.159,                0.66336,                 1.0533,                0.87209,                0.81209,                 0.8688,                0.41085,                 1.7936,                0.79988,                 1.3528,               0.007459,               0.007459,               0.007459
                     79,                 1.1516,                0.66027,                 1.0537,                0.85004,                0.77554,                0.85607,                0.39718,                 1.8032,                0.84345,                 1.3555,               0.007426,               0.007426,               0.007426
                     80,                  1.161,                0.66169,                 1.0558,                0.83561,                0.79185,                0.85389,                0.41486,                 1.7575,                0.86129,                 1.3388,               0.007393,               0.007393,               0.007393
                     81,                 1.1543,                0.66857,                 1.0588,                0.83985,                0.77059,                0.86494,                 0.4205,                 1.7862,                0.80965,                 1.3491,                0.00736,                0.00736,                0.00736
                     82,                 1.1606,                0.65885,                 1.0546,                  0.836,                0.81343,                0.85818,                 0.4226,                 1.7435,                   0.81,                 1.3191,               0.007327,               0.007327,               0.007327
                     83,                 1.1472,                0.65569,                 1.0488,                0.84994,                0.77337,                0.84388,                0.41689,                  1.726,                0.83323,                 1.3132,               0.007294,               0.007294,               0.007294
                     84,                 1.1471,                0.64903,                 1.0465,                0.82152,                 0.7934,                0.85908,                0.41663,                 1.7481,                0.84395,                 1.3281,               0.007261,               0.007261,               0.007261
                     85,                 1.1484,                0.65429,                 1.0529,                0.83237,                0.81522,                0.87321,                0.43344,                 1.7427,                0.81802,                 1.3268,               0.007228,               0.007228,               0.007228
                     86,                 1.1401,                0.64933,                 1.0435,                0.86077,                0.78253,                0.87669,                0.41373,                 1.8084,                0.80122,                 1.3682,               0.007195,               0.007195,               0.007195
                     87,                 1.1381,                0.64512,                 1.0428,                0.85629,                0.81253,                0.87408,                0.41509,                 1.7864,                0.79548,                 1.3392,               0.007162,               0.007162,               0.007162
                     88,                  1.141,                0.64376,                 1.0424,                0.88353,                0.77706,                0.86563,                0.41624,                 1.7806,                0.83707,                 1.3336,               0.007129,               0.007129,               0.007129
                     89,                 1.1355,                0.64806,                 1.0423,                0.82584,                0.82609,                0.86443,                0.40931,                 1.7698,                0.83024,                 1.3597,               0.007096,               0.007096,               0.007096
                     90,                 1.1184,                0.63249,                 1.0347,                0.85846,                 0.7756,                0.86611,                0.43577,                 1.7196,                0.81633,                 1.3422,               0.007063,               0.007063,               0.007063
                     91,                 1.1329,                0.64356,                 1.0431,                0.83184,                0.79511,                0.85833,                0.44528,                 1.6649,                0.82185,                 1.2922,                0.00703,                0.00703,                0.00703
                     92,                 1.1151,                 0.6285,                 1.0342,                0.82872,                0.78475,                 0.8482,                0.43581,                 1.7051,                0.81965,                 1.2963,               0.006997,               0.006997,               0.006997
                     93,                  1.111,                0.62537,                 1.0324,                0.81744,                0.82515,                0.86665,                0.42484,                 1.7455,                0.85525,                 1.3228,               0.006964,               0.006964,               0.006964
                     94,                 1.1122,                0.63368,                 1.0336,                0.85211,                0.81033,                0.85482,                0.43155,                 1.7028,                0.81876,                 1.2928,               0.006931,               0.006931,               0.006931
                     95,                 1.1097,                0.62599,                 1.0313,                0.84759,                0.81576,                0.88182,                0.44182,                 1.6906,                0.81192,                 1.2825,               0.006898,               0.006898,               0.006898
                     96,                 1.1081,                 0.6288,                 1.0334,                0.86729,                0.80272,                0.85832,                0.42626,                  1.748,                0.82392,                 1.3277,               0.006865,               0.006865,               0.006865
                     97,                 1.1093,                0.62261,                 1.0385,                0.85997,                0.80009,                0.85231,                0.42846,                 1.7464,                0.83929,                 1.3274,               0.006832,               0.006832,               0.006832
                     98,                 1.1046,                0.62282,                 1.0328,                0.86287,                0.79667,                 0.8699,                 0.4363,                 1.7301,                0.80839,                 1.2992,               0.006799,               0.006799,               0.006799
                     99,                 1.1067,                0.61505,                 1.0291,                0.87438,                0.79789,                0.86582,                 0.4175,                 1.8056,                0.82545,                 1.3532,               0.006766,               0.006766,               0.006766
                    100,                 1.0994,                0.61178,                 1.0272,                0.83068,                0.83327,                0.87187,                0.41592,                 1.7872,                0.79434,                 1.3497,               0.006733,               0.006733,               0.006733
                    101,                 1.1003,                0.62139,                  1.026,                 0.8445,                0.79239,                  0.861,                 0.4057,                 1.8256,                 0.8299,                 1.3721,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0998,                0.62226,                 1.0308,                0.88176,                 0.7712,                0.84944,                0.40696,                 1.7555,                0.85982,                 1.3285,               0.006667,               0.006667,               0.006667
                    103,                 1.0888,                0.61543,                  1.024,                0.83784,                0.80841,                0.87344,                0.41302,                 1.8135,                0.81962,                 1.3604,               0.006634,               0.006634,               0.006634
                    104,                 1.0924,                0.60556,                 1.0217,                0.88318,                0.76766,                0.87152,                0.42275,                 1.7578,                0.82676,                 1.3235,               0.006601,               0.006601,               0.006601
                    105,                 1.0743,                0.60295,                 1.0175,                0.84545,                0.80109,                0.85931,                0.43505,                 1.7258,                0.85392,                 1.3135,               0.006568,               0.006568,               0.006568
                    106,                 1.0856,                0.61357,                 1.0211,                0.84675,                0.80707,                0.86133,                0.43134,                 1.7193,                0.82882,                 1.3118,               0.006535,               0.006535,               0.006535
                    107,                 1.0824,                 0.6119,                 1.0214,                0.87961,                0.79348,                0.88395,                 0.4409,                 1.7352,                0.80393,                 1.3155,               0.006502,               0.006502,               0.006502
                    108,                 1.0738,                0.60213,                 1.0141,                0.87648,                0.82298,                0.87867,                0.43735,                 1.7389,                0.79507,                 1.3201,               0.006469,               0.006469,               0.006469
                    109,                  1.079,                0.60342,                 1.0227,                0.86377,                0.82772,                0.86714,                0.42953,                 1.7099,                0.81145,                 1.2952,               0.006436,               0.006436,               0.006436
                    110,                 1.0709,                0.59923,                 1.0209,                0.88975,                0.77446,                0.87291,                0.42782,                  1.753,                0.83965,                 1.3263,               0.006403,               0.006403,               0.006403
                    111,                  1.061,                0.59251,                 1.0167,                0.86527,                0.80966,                0.87194,                0.42804,                 1.7279,                0.81317,                 1.3194,                0.00637,                0.00637,                0.00637
                    112,                 1.0655,                0.59607,                 1.0158,                0.87087,                0.77391,                0.86107,                0.43523,                 1.7218,                0.82442,                 1.3002,               0.006337,               0.006337,               0.006337
                    113,                 1.0631,                0.59202,                 1.0127,                 0.8682,                0.79824,                0.87569,                0.42846,                 1.7741,                0.79418,                 1.3368,               0.006304,               0.006304,               0.006304
                    114,                 1.0604,                0.60115,                 1.0144,                0.88963,                0.81304,                0.87924,                0.43063,                 1.7583,                0.78959,                 1.3318,               0.006271,               0.006271,               0.006271
                    115,                 1.0601,                 0.5959,                 1.0146,                0.87197,                0.80163,                0.87789,                0.43489,                 1.7627,                 0.7693,                 1.3221,               0.006238,               0.006238,               0.006238
                    116,                 1.0671,                0.59332,                 1.0099,                0.82549,                0.81902,                0.87618,                0.42576,                 1.7815,                0.77522,                 1.3365,               0.006205,               0.006205,               0.006205
                    117,                 1.0569,                0.58886,                 1.0139,                0.83916,                0.78747,                0.85706,                0.41923,                 1.7727,                0.80018,                 1.3441,               0.006172,               0.006172,               0.006172
                    118,                 1.0608,                0.58997,                  1.011,                 0.9243,                0.74351,                0.87036,                0.43686,                 1.7432,                0.78356,                 1.3227,               0.006139,               0.006139,               0.006139
                    119,                 1.0549,                0.58763,                 1.0083,                0.86935,                0.80924,                0.87345,                 0.4356,                 1.7545,                0.79113,                 1.3323,               0.006106,               0.006106,               0.006106
                    120,                 1.0521,                0.58769,                  1.012,                0.88256,                0.77645,                0.87381,                0.44068,                 1.7499,                0.80185,                 1.3428,               0.006073,               0.006073,               0.006073
                    121,                  1.039,                0.57888,                 1.0041,                0.88068,                 0.7788,                0.86791,                0.42956,                 1.7746,                0.80462,                  1.352,                0.00604,                0.00604,                0.00604
                    122,                 1.0406,                0.58467,                 1.0067,                0.85111,                0.82989,                 0.8941,                0.43866,                 1.7472,                0.76599,                 1.3369,               0.006007,               0.006007,               0.006007
                    123,                 1.0402,                0.57982,                 1.0022,                0.83406,                0.82822,                0.87768,                0.43434,                 1.7454,                0.79469,                 1.3321,               0.005974,               0.005974,               0.005974
                    124,                  1.032,                0.57214,                 1.0022,                0.81522,                0.85707,                  0.881,                0.45148,                  1.708,                0.76738,                 1.3077,               0.005941,               0.005941,               0.005941
                    125,                 1.0427,                0.57769,                  1.005,                0.81045,                0.85779,                0.88615,                0.43907,                 1.7497,                0.77679,                 1.3403,               0.005908,               0.005908,               0.005908
