                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1557,                0.66217,                 1.0493,                0.86045,                0.80241,                 0.8631,                 0.4022,                 1.8603,                0.83329,                  1.347,               0.004159,               0.004159,               0.004159
                     61,                 1.1559,                0.65788,                 1.0479,                0.86337,                0.79402,                0.85765,                0.41941,                 1.7497,                0.82651,                 1.2966,                0.00406,                0.00406,                0.00406
                     62,                 1.1419,                0.64911,                  1.044,                0.82948,                0.78824,                0.85417,                0.40905,                 1.7638,                0.86418,                 1.3161,               0.003961,               0.003961,               0.003961
                     63,                 1.1281,                0.63795,                 1.0461,                0.83424,                0.81032,                0.85879,                 0.4198,                 1.7802,                0.79785,                 1.3249,               0.003862,               0.003862,               0.003862
                     64,                 1.1213,                0.62727,                 1.0376,                0.86006,                 0.7913,                0.86185,                0.42129,                 1.7915,                0.81029,                 1.3116,               0.003763,               0.003763,               0.003763
                     65,                 1.1252,                0.62888,                  1.038,                 0.8688,                0.82781,                0.88096,                0.42731,                 1.8106,                0.80688,                 1.3436,               0.003664,               0.003664,               0.003664
                     66,                 1.1161,                 0.6241,                  1.037,                0.87648,                0.78628,                0.86259,                0.41906,                 1.7867,                0.83732,                  1.344,               0.003565,               0.003565,               0.003565
                     67,                 1.1097,                0.62094,                 1.0334,                0.80908,                0.82446,                0.86216,                0.43957,                 1.7127,                0.80305,                 1.2696,               0.003466,               0.003466,               0.003466
                     68,                 1.1009,                0.61578,                 1.0265,                 0.7972,                0.85934,                0.85457,                0.41586,                 1.8174,                 0.7981,                 1.3357,               0.003367,               0.003367,               0.003367
                     69,                 1.1153,                0.62311,                 1.0373,                0.81825,                0.74946,                0.82333,                0.39762,                 1.7929,                0.88874,                  1.324,               0.003268,               0.003268,               0.003268
                     70,                 1.0874,                0.60695,                 1.0268,                0.84118,                0.79891,                0.85112,                0.40335,                 1.8141,                0.83804,                  1.347,               0.003169,               0.003169,               0.003169
                     71,                 1.0882,                0.60384,                 1.0211,                0.79406,                0.86304,                0.86303,                0.41211,                 1.7972,                0.83658,                 1.3375,                0.00307,                0.00307,                0.00307
                     72,                 1.0794,                0.59777,                 1.0245,                0.83299,                0.82141,                0.86832,                0.42074,                 1.7955,                0.83704,                 1.3437,               0.002971,               0.002971,               0.002971
                     73,                 1.0776,                 0.6084,                 1.0237,                0.82658,                0.83515,                0.85463,                0.42644,                 1.7421,                0.82331,                 1.2992,               0.002872,               0.002872,               0.002872
                     74,                 1.0718,                0.59425,                 1.0172,                0.83979,                0.83466,                0.86067,                0.40939,                 1.8264,                0.83557,                 1.3409,               0.002773,               0.002773,               0.002773
                     75,                 1.0691,                0.58944,                 1.0136,                0.84757,                0.83209,                0.86815,                0.41966,                 1.8019,                0.83616,                 1.3194,               0.002674,               0.002674,               0.002674
                     76,                 1.0598,                0.58886,                 1.0163,                0.87061,                0.83424,                0.87265,                0.41718,                  1.813,                0.83293,                 1.3417,               0.002575,               0.002575,               0.002575
                     77,                 1.0609,                0.58563,                 1.0166,                0.84072,                0.80214,                0.85841,                0.42765,                 1.7478,                0.83869,                  1.303,               0.002476,               0.002476,               0.002476
                     78,                  1.053,                0.58496,                 1.0079,                0.86708,                0.82029,                0.87086,                0.42124,                 1.8066,                0.82145,                  1.336,               0.002377,               0.002377,               0.002377
                     79,                 1.0493,                0.58177,                 1.0078,                0.83801,                0.83371,                0.86128,                0.41755,                 1.7915,                0.86771,                 1.3224,               0.002278,               0.002278,               0.002278
                     80,                  1.043,                0.57128,                  1.004,                0.85101,                0.82772,                0.86809,                0.41768,                 1.8304,                0.84024,                 1.3411,               0.002179,               0.002179,               0.002179
                     81,                 1.0261,                0.57047,                 1.0031,                 0.8479,                0.80853,                0.85178,                0.42713,                 1.7799,                0.83495,                 1.3159,                0.00208,                0.00208,                0.00208
                     82,                 1.0291,                0.56486,                 1.0002,                0.84943,                0.82294,                0.87611,                0.43296,                 1.7785,                0.80312,                 1.3269,               0.001981,               0.001981,               0.001981
                     83,                 1.0214,                0.56582,                0.99886,                0.84101,                 0.8344,                0.87415,                0.42162,                 1.8251,                0.82109,                 1.3542,               0.001882,               0.001882,               0.001882
                     84,                 1.0147,                 0.5563,                0.99635,                0.86399,                0.80472,                0.86075,                0.41236,                 1.8197,                0.86609,                 1.3464,               0.001783,               0.001783,               0.001783
                     85,                  1.009,                0.55044,                0.98861,                0.89208,                0.79888,                0.87035,                0.41661,                 1.8501,                0.83316,                 1.3576,               0.001684,               0.001684,               0.001684
                     86,                 1.0101,                0.55364,                0.99186,                0.88853,                0.81722,                 0.8806,                0.44396,                 1.7291,                0.81018,                 1.2901,               0.001585,               0.001585,               0.001585
                     87,                 1.0123,                 0.5552,                0.99463,                0.84768,                0.84404,                0.87505,                0.42978,                 1.7735,                0.81166,                 1.3128,               0.001486,               0.001486,               0.001486
                     88,                0.99228,                0.54281,                0.98998,                 0.8779,                0.80378,                0.87213,                0.42952,                 1.7812,                 0.8184,                  1.319,               0.001387,               0.001387,               0.001387
                     89,                0.99428,                0.54378,                0.99015,                0.85688,                0.81062,                 0.8697,                0.43986,                 1.7503,                0.82303,                 1.3049,               0.001288,               0.001288,               0.001288
                     90,                0.99414,                0.54164,                0.98908,                0.87119,                0.79042,                0.87266,                0.42858,                 1.7685,                0.82623,                 1.3135,               0.001189,               0.001189,               0.001189
                     91,                0.98376,                 0.5356,                0.98284,                0.88905,                0.78263,                0.86404,                0.43686,                 1.7307,                0.84517,                 1.2911,                0.00109,                0.00109,                0.00109
                     92,                0.97639,                0.52965,                0.97874,                0.87484,                 0.7848,                0.86097,                0.43194,                 1.7476,                0.86418,                 1.3051,               0.000991,               0.000991,               0.000991
                     93,                0.97402,                0.53556,                0.98047,                0.84909,                0.81359,                0.86776,                 0.4319,                 1.7478,                0.84691,                 1.3084,               0.000892,               0.000892,               0.000892
                     94,                 0.9732,                0.52957,                0.98197,                0.84795,                0.80707,                0.85988,                0.42529,                  1.784,                0.84319,                 1.3224,               0.000793,               0.000793,               0.000793
                     95,                0.96022,                0.52373,                0.97468,                0.87332,                0.81318,                0.87063,                 0.4365,                 1.7618,                0.83959,                  1.316,               0.000694,               0.000694,               0.000694
                     96,                0.96287,                0.52384,                0.97724,                0.87085,                0.82409,                 0.8672,                0.43287,                 1.7757,                0.85433,                 1.3192,               0.000595,               0.000595,               0.000595
                     97,                0.95889,                0.52484,                0.97542,                0.86258,                0.82283,                0.87139,                0.43171,                 1.7726,                 0.8511,                 1.3167,               0.000496,               0.000496,               0.000496
                     98,                0.94941,                0.51659,                0.97468,                0.87264,                0.81444,                0.86553,                0.42737,                 1.7889,                0.86874,                 1.3351,               0.000397,               0.000397,               0.000397
                     99,                0.94394,                0.51634,                0.97072,                0.84696,                0.82663,                0.85762,                0.42478,                 1.7935,                0.87293,                 1.3326,               0.000298,               0.000298,               0.000298
